Dataset,Feature,Model,Accuracy,Precision,Recall,F1-Score,Execution_Time
librispeech,text,Logistic Regression,0.3693181818181818,0.4390622778699317,0.3693181818181818,0.3763523609382883,10.428961277008057
librispeech,text,Multinomial Naive Bayes,0.42329545454545453,0.44774941450409356,0.42329545454545453,0.4160909486276181,0.0841226577758789
librispeech,text,Decision Tree Classifier,0.25,0.3032494454724568,0.25,0.2537761721448073,16.30199933052063
librispeech,text,Random Forest,0.30113636363636365,0.5133319852788876,0.30113636363636365,0.32792402461888864,32.133808612823486
librispeech,text,SGD SVM,0.2727272727272727,0.40487400450451205,0.2727272727272727,0.2842192340162,0.1940617561340332
librispeech,text,SGD LogReg,0.3693181818181818,0.4294760791418067,0.3693181818181818,0.36868800685581554,0.2851531505584717
librispeech,DSU,Logistic Regression,0.9090909090909091,0.9170556716011262,0.9090909090909091,0.9095238701241665,67.04984426498413
librispeech,DSU,Multinomial Naive Bayes,0.9659090909090909,0.9686238240925742,0.9659090909090909,0.9661854788340588,0.20897841453552246
librispeech,DSU,Decision Tree Classifier,0.5426136363636364,0.5611808094052412,0.5426136363636364,0.5419378371416644,13.47000241279602
librispeech,DSU,Random Forest,0.84375,0.8693517137200292,0.84375,0.8455433010232963,28.551034450531006
librispeech,DSU,SGD SVM,0.9005681818181818,0.9069945679320679,0.9005681818181818,0.9006054499561856,1.8343873023986816
librispeech,DSU,SGD LogReg,0.8863636363636364,0.8939195264049481,0.8863636363636364,0.8859944290218852,3.0915427207946777
librispeech,DSU_deduplicated,Logistic Regression,0.9232954545454546,0.9318118768486415,0.9232954545454546,0.924151620891369,12.854957342147827
librispeech,DSU_deduplicated,Multinomial Naive Bayes,0.96875,0.9692872231934732,0.96875,0.9679216197608647,0.21332335472106934
librispeech,DSU_deduplicated,Decision Tree Classifier,0.5397727272727273,0.5593300796425796,0.5397727272727273,0.5394623588342345,13.486003637313843
librispeech,DSU_deduplicated,Random Forest,0.7982954545454546,0.8211806671453448,0.7982954545454546,0.7964501186221842,25.203001737594604
librispeech,DSU_deduplicated,SGD SVM,0.9034090909090909,0.9104545576972046,0.9034090909090909,0.9034505493667105,1.0288968086242676
librispeech,DSU_deduplicated,SGD LogReg,0.9176136363636364,0.9228653133482679,0.9176136363636364,0.917174536413667,1.8890271186828613
vctk,text,Logistic Regression,0.0,0.0,0.0,0.0,2.2758278846740723
vctk,text,Multinomial Naive Bayes,0.0,0.0,0.0,0.0,0.03404355049133301
vctk,text,Decision Tree Classifier,0.0,0.0,0.0,0.0,4.232457637786865
vctk,text,Random Forest,0.0035026269702276708,0.0024648115716416944,0.0035026269702276708,0.0028934744536663367,191.0000283718109
vctk,text,SGD SVM,0.0035026269702276708,0.003289967475606705,0.0035026269702276708,0.0033264793856514242,0.3847332000732422
vctk,text,SGD LogReg,0.0,0.0,0.0,0.0,0.5670397281646729
vctk,DSU,Logistic Regression,0.7425569176882661,0.7498961122385022,0.7425569176882661,0.7423782700986604,27.21700882911682
vctk,DSU,Multinomial Naive Bayes,0.6322241681260946,0.6543313259982242,0.6322241681260946,0.6338081257394834,0.27500391006469727
vctk,DSU,Decision Tree Classifier,0.2521891418563923,0.2604216724232727,0.2521891418563923,0.25259125620178813,28.307244300842285
vctk,DSU,Random Forest,0.46409807355516636,0.46213664114740893,0.46409807355516636,0.44949603896342627,68.49935150146484
vctk,DSU,SGD SVM,0.6637478108581436,0.67422936163122,0.6637478108581436,0.6608755673606322,2.4499096870422363
vctk,DSU,SGD LogReg,0.6970227670753065,0.7018282681960789,0.6970227670753065,0.6947142897507274,3.233457565307617
vctk,DSU_deduplicated,Logistic Regression,0.7302977232924693,0.7321875424599071,0.7302977232924693,0.7256408170995438,14.902281045913696
vctk,DSU_deduplicated,Multinomial Naive Bayes,0.6935201401050788,0.7179478030480134,0.6935201401050788,0.6939648853944093,0.24039030075073242
vctk,DSU_deduplicated,Decision Tree Classifier,0.2136602451838879,0.2180115215825014,0.2136602451838879,0.2122026771104846,25.188952922821045
vctk,DSU_deduplicated,Random Forest,0.45884413309982486,0.4770427209356191,0.45884413309982486,0.44495025663668364,53.480029821395874
vctk,DSU_deduplicated,SGD SVM,0.6392294220665499,0.6417758567364829,0.6392294220665499,0.6349861688139872,1.301830530166626
vctk,DSU_deduplicated,SGD LogReg,0.6725043782837128,0.6772540861661271,0.6725043782837128,0.670429644752026,1.8457286357879639
